,Sampling Location,Sampling Date,Sampling Time,Analyte,Sampling Method,Qual,Amount,Sampling Location ID
0,AH Well 22 POE,6/3/2013,9:40,Perfluoro octanesulfonic acid -  PFOS,EPA 537,<,0.04 µg/L,AZ0407093
1,AH Well 22 POE,6/3/2013,9:40,Perfluoro-1-butanesulfonic acid - PFBS,EPA 537,<,0.09 µg/L,AZ0407093
2,AH Well 22 POE,6/3/2013,9:40,Perfluoro-1-hexanesulfonic acid -  PFHxS,EPA 537,<,0.03 µg/L,AZ0407093
3,AH Well 22 POE,6/3/2013,9:40,Perfluoroheptanoic acid -  PFHpA,EPA 537,<,0.01 µg/L,AZ0407093
4,AH Well 22 POE,6/3/2013,9:40,Perfluoro-n-nonanoic acid - PFNA,EPA 537,<,0.02 µg/L,AZ0407093
5,AH Well 22 POE,6/3/2013,9:40,Perfluorooctanoic acid - PFOA,EPA 537,<,0.02 µg/L,AZ0407093
6,AH Well 22 POE,1/16/2014,12:10,Perfluoro octanesulfonic acid -  PFOS,EPA 537,<,0.04 µg/L,AZ0407093
7,AH Well 22 POE,1/16/2014,12:10,Perfluoro-1-butanesulfonic acid - PFBS,EPA 537,<,0.09 µg/L,AZ0407093
8,AH Well 22 POE,1/16/2014,12:10,Perfluoro-1-hexanesulfonic acid -  PFHxS,EPA 537,<,0.03 µg/L,AZ0407093
9,AH Well 22 POE,1/16/2014,12:10,Perfluoroheptanoic acid -  PFHpA,EPA 537,<,0.01 µg/L,AZ0407093
10,AH Well 22 POE,1/16/2014,12:10,Perfluoro-n-nonanoic acid - PFNA,EPA 537,<,0.02 µg/L,AZ0407093
11,AH Well 22 POE,1/16/2014,12:10,Perfluorooctanoic acid - PFOA,EPA 537,<,0.02 µg/L,AZ0407093
